Torah Bright;Australia;55,60,67,58,50,60;85,89,95,93,92,92
Xuetong Cai;China;88,81,81,82,86,89;31,25,30,20,25,17
Queralt Castellet;Spain;60,62,58,62,63,70;50,52,56,57,60,56
Kelly Clark;USA;48,52,39,44,49,58;91,88,90,92,90,93
Kaitlyn Farrington;USA;86,83,73,86,88,88;92,91,89,91,93,94
Ursina Haller;Switzerland;51,50,41,50,44,56;35,24,27,23,30,26
Shuang Li;China;73,72,76,72,69,76;20,20,18,27,35,28
Jiayu Liu;China;10,10,20,18,20,15;65,71,72,70,67,61
Rana Okada;Japan;54,45,44,54,48,43;80,86,84,85,87,87
Sophie Rodriguez;France;76,79,78,78,74,82;79,80,79,80,79,85
Hannah Teter;USA;90,90,92,88,91,91;30,28,35,21,27,22
Mirabelle Thovex;France;66,65,70,66,66,70;40,32,38,37,32,30
